"movie_id","title","description","genre","language","release_date","duration_minutes","poster_url","age_rating","rating","features","director","cast_members","banner_url","trailer_url","tagline","keywords"
10,Kingdom of the Planet of the Apes,"Set many generations after the death of Caesar, apes are now the dominant species, and humans have regressed to a feral, primitive state. A young ape named Noa, from a peaceful falconry clan, has his village destroyed and his clan enslaved by Proximus Caesar, a tyrannical ape leader twisting Caesar's teachings. Noa embarks on a harrowing journey with a young human woman named Mae to rescue his family and challenge Proximus's new empire.","Sci-Fi, Action",English,2024-05-10,145,https://image.tmdb.org/t/p/original/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,PG-13,6.8,"{IMAX,4DX}",Wes Ball,"{""Owen Teague"",""Freya Allan""}",https://image.tmdb.org/t/p/original/gNfjrgPtmGyiL5NeN5JgCvIJqVG.jpg,https://www.youtube.com/watch?v=Kdr5oedn-ec,A new kingdom will rise.,"{ape,post-apocalypse,human}"
12,Godzilla x Kong: The New Empire,"Kong, now residing in the Hollow Earth, senses a new threat. This leads to the discovery of a hidden civilization of Great Apes ruled by the tyrannical Skar King. The Skar King, wielding an ancient ice-powered Titan named Shimo, plans to conquer both the Hollow Earth and the surface world. Godzilla, sensing the threat, emerges to help. The two titans, along with a revived Mothra, must form an uneasy alliance to stop the Skar King and save both their worlds.","Action, Sci-Fi",English,2024-03-29,115,https://image.tmdb.org/t/p/original/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,PG-13,6.4,"{3D,IMAX,4DX}",Adam Wingard,"{""Rebecca Hall"",""Dan Stevens""}",https://image.tmdb.org/t/p/original/eZzOrmbon2K5bx8ByVYP7n40LAG.jpg,https://www.youtube.com/watch?v=lV1OOlGwExM,Bow to the new kings.,"{monster,titan,""hollow earth""}"
14,Spider-Man: Across the Spider-Verse,"Miles Morales reunites with Gwen Stacy and is catapulted across the multiverse, where he encounters the Spider-Society, a team of Spider-People led by Miguel O'Hara (Spider-Man 2099). Miles comes into conflict with Miguel over how to handle a new villain, the Spot, whose powers threaten to unravel the multiverse. When Miles is forced to choose between saving one person he loves and saving every universe, he must redefine what it means to be a hero.","Animation, Action",English,2023-06-02,140,https://image.tmdb.org/t/p/original/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,PG,8.6,"{IMAX,ScreenX}",J. Dos Santos,"{""Shameik Moore"",""Hailee Steinfeld""}",https://image.tmdb.org/t/p/original/qPQiIYUzqHYYhJ3LETxJ84AnGtD.jpg,https://www.youtube.com/watch?v=cqGjhVJWt0E,It's how you wear the mask.,"{multiverse,spider-man,animation}"
17,Mission: Impossible - Dead Reckoning,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: to track down a terrifying new weapon before it falls into the wrong hands. The weapon is a sentient, rogue AI known as ""the Entity,"" which threatens all of humanity. Ethan is confronted by Gabriel, a figure from his pre-IMF past who acts as the Entity's human emissary. The mission becomes a globe-trotting race where the fate of the world, and the lives of those he cares about, are at stake.","Action, Thriller",English,2023-07-12,163,https://image.tmdb.org/t/p/original/pZCa8WgnP0AgVHsFjvuUDhcNjOJ.jpg,PG-13,7.7,"{IMAX,4DX,ScreenX}",C. McQuarrie,"{""Tom Cruise"",""Hayley Atwell""}",https://image.tmdb.org/t/p/original/628Dep6AxEtDxjZoGP78TsOxYbK.jpg,https://www.youtube.com/watch?v=avz06PDqDbM,His deadliest mission yet.,"{spy,AI,action}"
15,Guardians of the Galaxy Vol. 3,"The Guardians' lives on Knowhere are shattered when Rocket is critically injured by an attack from Adam Warlock. To save him, the team must embark on a dangerous mission into Rocket's traumatic past. They confront his creator, the obsessive and cruel High Evolutionary, who is seeking to ""perfect"" the universe. The mission tests the team's bonds as they fight to save their friend and confront the dark origins that shaped him.","Sci-Fi, Comedy",English,2023-05-05,149,https://image.tmdb.org/t/p/original/bVpTTg0NvaS905U2oXVr0awgCbM.jpg,PG-13,7.9,"{3D,IMAX,ScreenX}",James Gunn,"{""Chris Pratt"",""Zoe Saldana""}",https://image.tmdb.org/t/p/original/rR1vGEC1csvWfQ9eLKsSWukfiLp.jpg,https://www.youtube.com/watch?v=u3V5KDHR2yo,One last ride.,"{space,raccoon,marvel}"
16,John Wick: Chapter 4,"John Wick uncovers a path to defeating the High Table. But before he can earn his freedom, he must face a new enemy with powerful alliances across the globe. The Marquis de Gramont is given full control to hunt Wick down, destroying the New York Continental and enlisting Wick's old friend, the blind assassin Caine. John travels from New York to Osaka and Paris, fighting for his life in a final bid to challenge the Marquis to a duel and win his freedom.","Action, Thriller",English,2023-03-24,169,https://image.tmdb.org/t/p/original/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,R,7.7,"{IMAX,4DX}",Chad Stahelski,"{""Keanu Reeves"",""Donnie Yen""}",https://image.tmdb.org/t/p/original/zcZBlpCeuaFCHHsgGAd6yB5RxZV.jpg,https://www.youtube.com/watch?v=yjRHmUP8n0s,Baba Yaga.,"{assassin,""high table"",action}"
13,A Quiet Place: Day One,"Set before the events of the first two films, the story follows Sam, a woman in New York City on the day the blind, sound-hunting alien creatures arrive. As the city descends into chaos, she reluctantly teams up with another survivor named Eric. Together, with Sam's cat, Frodo, they must navigate the collapsing metropolis in silence, attempting to find a way to safety while witnessing the world's end.","Horror, Thriller",English,2024-06-28,100,https://image.tmdb.org/t/p/original/hU42CRk14JuPEdqZG3AWmagiPAP.jpg,PG-13,6.6,"{IMAX,4DX}",Michael Sarnoski,"{""Lupita Nyong'o"",""Joseph Quinn""}",https://image.tmdb.org/t/p/original/6XjMwQTvnICBz6TguiDKkDVHvgS.jpg,https://www.youtube.com/watch?v=YPY7J-flzE8,Witness the day the world...,"{""alien invasion"",sound,prequel}"
19,Wonka,"This musical prequel follows a young and optimistic Willy Wonka as he arrives in a new city, armed only with a hatful of dreams and a passion for chocolate. He aims to open a shop in the prestigious ""Galeries Gourmet,"" but is immediately thwarted by the ""Chocolate Cartel"" (Slugworth, Prodnose, and Fickelgruber) and tricked into indentured servitude by the devious Mrs. Scrubitt. With the help of a young orphan named Noodle and other friends, Willy uses his inventive magic to expose the cartel and share his chocolate with the world.","Fantasy, Musical",English,2023-12-15,116,https://image.tmdb.org/t/p/original/cDkMUi0i85qgjlRqq92k2yzRHA2.jpg,PG,7.0,{IMAX},Paul King,"{""Timothée Chalamet"",""H. Grant""}",https://image.tmdb.org/t/p/original/yyFc8Iclt2jxPmLztbP617xXllT.jpg,https://www.youtube.com/watch?v=Z7fnyPWhfcs,Every good thing in this world...,"{chocolate,prequel,musical}"
18,Avatar: The Way of Water,"Set more than a decade after the first film, Jake Sully and Neytiri have built a family on Pandora. Their peaceful life is shattered when the ""Sky People"" (humans) return, this time with a new city and a new objective. Colonel Quaritch is resurrected in a Na'vi avatar body, leading a mission to hunt down Jake. To protect their family, Jake and Neytiri flee their forest home and seek refuge with the Metkayina, a clan of reef-dwelling Na'vi, forcing them to learn the ""way of water.""","Sci-Fi, Adventure",English,2022-12-16,192,https://image.tmdb.org/t/p/original/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,PG-13,7.5,"{3D,IMAX,4DX}",James Cameron,"{""Sam Worthington"",""Zoe Saldana""}",https://image.tmdb.org/t/p/original/s16H6tpK2utvwDtzZ8Qy4qm5Emw.jpg,https://www.youtube.com/watch?v=d9MyW72ELq0,Return to Pandora.,"{pandora,ocean,family}"
20,The Super Mario Bros. Movie,"Brooklyn plumbers and brothers Mario and Luigi are working on a major water main leak when they are sucked into a mysterious pipe, transporting them to another world. They are separated: Mario lands in the vibrant Mushroom Kingdom, ruled by Princess Peach, while Luigi is captured and taken to the Dark Lands, ruled by the evil Koopa king, Bowser. Mario must team up with Peach and Toad to learn the rules of this new world, rescue his brother, and stop Bowser's plan to conquer the Mushroom Kingdom.","Animation, Comedy",English,2023-04-05,92,https://image.tmdb.org/t/p/original/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,PG,7.1,"{3D,4DX}",A. Horvath,"{""Chris Pratt"",""Jack Black""}",https://image.tmdb.org/t/p/original/nLBRD7UPR6GjmWQp6ASAfCTaWKX.jpg,https://www.youtube.com/watch?v=KydP0P2C9eA,"Mushroom Kingdom, here we come!","{""mushroom kingdom"",plumbing}"
